Title,Price,Type,Description
Mercedes-Benz GLE-Class GLE 400 4MATIC 2018 White,"_ 49,500,000",Foreign Used,"Foreign used Mercedes Benz Gle400 (018) full option, accident free, first body, very clean with..."
New Toyota Fortuner 2023 Gray,"_ 99,500,000",Brand New,"Brand New Fortuner 2023 Model, Automatic Transmission, Power window fronts, Boot Space, Cruise..."
Toyota Camry 2018 Silver,"_ 34,000,000",Foreign Used,Foreign used Toyota Camry silver color 2018 model with good engine and sun roof nothing to fix just...
Toyota Camry 2008 Green,"_ 6,950,000",Local Used,Toyota Camry 2008 six months used everything is working well buy and drive
Ford F-150 Super Cab 4x4 2007 Black,"_ 8,500,000",Foreign Used,"4.6L Engine
V8 cylinders
Automatic transmission
4x4 Auxiliary
Fabric interior
Firm suspensions
Ac..."
Hyundai Sonata 2015 Silver,"_ 27,000,000",Foreign Used,
Mercedes-Benz C300 2009 White,"_ 8,700,000",Local Used,"Super clean Used 
Mercedes-Benz C300 
2009 model
Pop up
Reverse camera 
First User
Complete..."
Honda Civic 1.6i ES Automatic 2008 Black,"_ 2,790,000",Local Used,"Sharp Clean Belgium standard Honda civic 2008 model, fullest option 
super exterior 
clean interior..."
Mercedes-Benz C300 2014 White,"_ 10,900,000",Local Used,Direct Belgium. Buy and drive with everything working
Hyundai Elantra 2017 Red,"_ 13,800,000",Foreign Used,Toks Hyundai elantra 2017 on belt accident free buy n travel
Mercedes-Benz GLK-Class 350 4MATIC 2010 White,"_ 10,500,000",Local Used,"Thumbstart
Double panoramic sunroof
Buy and Drive
Ac chilling"
Toyota Camry 2014 Ivory,"_ 15,800,000",Foreign Used,"Foreign Used Camry XLE, 2014 model full option with keyless, accident free, rev camera, automatic..."
Mercedes-Benz M Class ML 350 4Matic 2013 Black,"_ 25,500,000",Foreign Used,"2012 MERCEDES BENZ ML350
Foreign Used || Accident Free || Fullest Options 
2024 Entry
Car's in..."
Hyundai Santa Fe Sport 2.0T 2013 Black,"_ 11,250,000",Local Used,"Buy and drive was bought brand new, nothing to fix, sound 4plugs engine, smooth transmission and..."
Toyota Camry SE 2021 Red,"_ 36,000,000",Foreign Used,Come check out this super duper Direct Belgium 2021 model Toyota Camry fullest option with...
